RegionWHO6,M49CodeFAOgeographicID,ISO2Code,ISO3Code,Country,WBincomegrouping2019,LatestDataYearofGINIIndex,GINIIndex,DoubleBurden20overweight1,DoubleBurden20overweightm,MDDWvalue,LatestDataYearofMDD,MDD623monthsvalue,SodiumIntakegday201095,LatestDataYearBreastFeeding,ExclusiveBreastFeeding05mon,LatestDataYearModerateSeve,ModerateChildFoodPoverty62,SevereChildFoodPoverty623m,LatestDataYearofintakeASF,IntakeofAnimalSourceFoods6,ZeroFruitorVegtable623mont,calories,Latestyearfreqeuencyprevalenc,Dailycarbonatedsoftdrinkcons,Dailyfrequencyoffruitconsump,Dailyfrequencyofvegetablecon,Weeklyfrequencyoffastfoodco,Prevalenceofatleastweeklyfa,Prevalenceoflessthandailyfr,Prevalenceoflessthandailyve,Latestyearall5foodgroupdi,Adults15yearsconsumingall,Foodgroupdiversityscore,Globaldietaryrecommendationss,NCDProtectscore,NCDRiskscore,Adultsage15yearsZeroveg,Adultsage15yearsSugarsw,Adultsage15yearsWholegr,Adultsage15yearsUnproces,Adultsage15yearsSweetfo,Adultsage15yearsProcesse,LatestyearSBSBRneonatalde,Numberofstillbirths,Stillbirthrate,Numberofneonataldeaths,Neonatalmortalityrate,NumberofU5deaths,U5mortalityrate,Latestyearlowbirthweight,Prevalenceoflowbirthweight,Latestyearprevalencewithoutb,Prevalenceofnewbornswithouta,Latestyearanaemiaprevalence,Prevalenceofanaemiainchildre,Latestyearchildstunting,Childstunting,Latestyearchildwasting,Childwasting,Latestyearchildoverweight,ChildOverweight,Prevalenceofanaemiainpregnan,Prevalenceofanaemiainnonpre,under,BMI,Latestyearchildandadolescent,Childandadolescentoverweight,BQ,Childandadolescentobesity,BS,Childandadolescentunderweight,Latestyearadultobesity,Adultobesityprevalence,Latestyearadultunderweight,Adultunderweightprevalence,Latestyearadultdiabetespreva,Adultdiabetesprevalence,LatestadultRBP,Adultraisedbloodpressureprev,LatestyearNCDmortalityratea,NCDmortalityrate,NCDprematuredeaths,Probabilityofdyingaged307,under2,nRegionWHO,RW,r
Eastern Mediterranean,4.0,AF,AFG,Afghanistan,Low,,,,1.0,18.0,2015.0,22.1,3.39 (2.79–4.06),2018.0,57.5,2015.0,38.30069,39.64071,2015.0,30.28799,58.5706,2240.0,2014.0,0.814400119,1.2153209,1.41099196,1.472271055,65.03129033,42.48683869,35.9491148,2022,,,10.19,1.98,.79,,,,,,,2021.0,37980.0,25.68102456,49061.0,34.0878818736353,77811.0,55.6574829074136,,,2013.0,86.268371,2019.0,44.9,2022.0,33.1,2018.0,5.1,2022.0,3.7,36.5,43.2,15.01415968,20.51154822,2016.0,0.0935123428315775,2016.0,0.0300582904485077,2016.0,0.443568617345467,2016.0,5.68131396951714,2016.0,18.113531866101,2014.0,11.9078556689013,2015.0,30.56,2019.0,881.2,66.5,35.3,2.7089937,Eastern Mediterranean,Eastern Mediterranean,
European,8.0,AL,ALB,Albania,Upper middle,2020.0,29.4,,,91.0,2017.0,52.5,3.67 (3.05–4.34),2017.0,36.53851,2017.0,29.32346,18.17803,2017.0,68.45936,25.73565,3301.0,,,,,,,,,2022,,,9.68,3.73,3.05,,,,,,,2021.0,128.0,4.344575297,209.0,7.11810065494427,279.0,9.45591929580101,2015.0,4.587831,2016.0,2.9,2019.0,30.9,2022.0,8.3,2017.0,1.6,2022.0,13.4,24.5,24.8,2.589109726,45.31368613,2016.0,0.253478721585115,2016.0,0.0788786491632741,2016.0,0.115176662212313,2016.0,22.5475146311594,2016.0,36.9348072427374,2014.0,7.38446634294938,2015.0,29.015,2019.0,601.9,16.1,11.4,0.9513141,European,European,-0.45154554
African,12.0,DZ,DZA,Algeria,Lower middle,2011.0,27.6,,,,2019.0,39.4,4.28 (3.59–5.00),2019.0,28.6316,2019.0,43.83509,16.80866,2019.0,52.90646,25.99189,3487.0,2011.0,1.73641508,1.881126826,2.311951894,1.386467843,52.71222503,17.69645836,8.206659573,,,,,,,,,,,,,2021.0,9429.0,9.819001625,14888.0,15.6491972464663,21567.0,22.3352879879139,2015.0,7.252492,2017.0,9.699999999999999,2019.0,34.3,2022.0,8.6,2019.0,2.7,2022.0,11.9,33.1,33.3,4.049504176,60.74433923,2016.0,0.306365599529642,2016.0,0.13140547527402,2016.0,0.199590682415073,2016.0,28.4424726428007,2016.0,35.4674105054535,2014.0,12.4292521131835,2015.0,25.0,2019.0,445.8,36.5,13.9,1.3985945,African,African,
European,20.0,AD,AND,Andorra,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.0,1.0,2.28713731,1.0,1.39434867768769,2.0,2.75636216753319,2015.0,7.445455,,,2019.0,14.1,,,,,,,16.8,12.0,1.79195255,53.13600898,2016.0,0.355477804014687,2016.0,0.125165732605461,2016.0,0.0660236921102541,2016.0,26.5440370665793,2016.0,38.7645893155722,2014.0,6.95204770114157,2015.0,18.685,,,,,0.58330584,European,European,
African,24.0,AO,AGO,Angola,Lower middle,2018.0,51.3,1.0,1.0,,2015.0,29.1,2.49 (2.06–2.97),2015.0,37.38193,2015.0,41.05727,29.8735,2015.0,60.97796,36.35851,2390.0,,,,,,,,,,,,,,,,,,,,,2021.0,26351.0,19.30307285,35644.0,26.6473007213412,89896.0,69.4213315853047,2015.0,15.256593,2014.0,45.73,2019.0,62.4,2022.0,43.6,2015.0,4.9,2022.0,3.9,48.3,44.0,10.96019372,28.33560109,2016.0,0.108251676561308,2016.0,0.0232502164889739,2016.0,0.284975178172455,2016.0,8.41892251076126,2016.0,19.7765624829307,2014.0,8.17245443915499,2015.0,29.59,2019.0,621.2,68.1,22.2,2.39427,African,African,
Americas,28.0,AG,ATG,Antigua and Barbuda,High,,,,,,,,,,,,,,,,,2420.0,2009.0,1.491758453,1.620966881,1.687224431,1.320098045,56.85490054,32.11059158,25.68225484,,,,,,,,,,,,,2021.0,6.0,5.155862491,4.0,3.31572904013711,7.0,6.14456225807726,2015.0,9.541191,,,2019.0,17.2,,,,,,,19.4,17.2,4.405091703,51.91293359,2016.0,0.267731970017175,2016.0,0.11567176690553,2016.0,0.167415563973477,2016.0,19.5284736819089,2016.0,29.8783348246675,2014.0,11.4658369868029,2015.0,23.375,2019.0,501.1,40.9,17.5,1.482761,Americas,Americas,
Americas,32.0,AR,ARG,Argentina,Upper middle,2021.0,42.0,,,,,,3.00 (2.92–3.08),2011.0,31.95195,,,,,,,3338.0,2012.0,1.93801866,1.451946158,1.4465676,0.609969313,31.63709667,32.66375108,27.31693561,,,,,,,,,,,,,2021.0,2719.0,4.301864208,3232.0,5.13335657632671,4410.0,6.9181988114155,2015.0,7.3467579,2019.0,6.17,2019.0,19.0,2022.0,9.5,2018.0,1.7,2022.0,12.6,20.6,11.6,1.566666365,53.81327868,2016.0,0.364288284002704,2016.0,0.168488965308067,2016.0,0.0941601870766573,2016.0,29.1832119177245,2016.0,35.3449317642695,2014.0,9.66935893697827,2015.0,22.615,2019.0,435.2,33.3,15.7,0.44895002,Americas,Americas,
European,51.0,AM,ARM,Armenia,Upper middle,2021.0,42.0,,,83.0,2016.0,36.3,4.92 (4.13–5.77),2016.0,44.49041,2016.0,49.28836,14.40281,2016.0,52.32186,22.29481,3215.0,,,,,,,,,2022,,,9.37,3.74,3.36,,,,,,,2021.0,369.0,10.82129477,190.0,5.63702606202955,372.0,10.7211405020471,2015.0,8.979993,2014.0,.3645658493041992,2019.0,19.6,2022.0,7.2,2016.0,4.4,2022.0,11.5,18.1,17.2,3.868430108,48.48771989,2016.0,0.192714022865539,2016.0,0.046994941511588,2016.0,0.136992865522006,2016.0,20.8875058221876,2016.0,35.147196255277,2014.0,11.4808990591587,2015.0,25.345,2019.0,525.9,37.2,19.9,1.3528488,European,European,1.063845
Western Pacific,36.0,AU,AUS,Australia,High,2018.0,34.3,,,,,,,,,,,,,,,3422.0,,,,,,,,, ,,,9.37, , ,,,,,,,2021.0,714.0,2.386948272,706.0,2.36599568826107,1111.0,3.71192244206751,,,2019.0,1.47,2019.0,13.3,2022.0,3.4,2007.0,0.2,2022.0,21.8,15.7,8.2,2.07888782,54.18436527,2016.0,0.340783800888061,2016.0,0.123648056105095,2016.0,0.0697948390505797,2016.0,30.0407553901563,2016.0,36.2821050197113,2014.0,5.89446570316068,2015.0,15.17,2019.0,278.5,22.6,8.6,0.73183304,Western Pacific,Western Pacific,
European,40.0,AT,AUT,Austria,High,2020.0,29.8,,,,,,,,,,,,,,,3698.0,,,,,,,,,,,,,,,,,,,,,2021.0,207.0,2.436130702,198.0,2.34420441527402,308.0,3.65759460014716,2015.0,6.5214977,2020.0,.47,2019.0,14.6,,,,,,,17.8,12.9,3.068066761,43.27969551,2016.0,0.265987949127119,2016.0,0.0867109368435306,2016.0,0.114373692366606,2016.0,20.8735302190622,2016.0,35.0161822039254,2014.0,4.31557864767969,2015.0,20.985,2019.0,329.4,19.8,10.4,1.1210476,European,European,
